DI546;4;27.2;34
DI546;14;12.5;91
DI546;23;32.1;89
DI546;20;24.8;87
DI546;16;21.0;48
DI546;18;27.7;95
DI546;23;21.2;69
DI546;2;12.3;92
CB252;16;17.5;53
CB252;8;28.2;97
CB252;0;12.5;76
CB252;10;23.0;61
CB252;4;34.8;66
CB252;22;19.6;89
CB252;19;25.3;58
CB252;22;22.3;76
DI548;14;31.8;56
DI548;3;33.1;98
DI548;13;24.1;83
DI548;4;27.8;55
DI548;8;26.8;100
DI548;11;26.0;73
DI548;17;22.9;66
DI548;6;12.3;99
FI362;4;16.7;36
FI362;20;22.8;62
FI362;12;31.8;30
FI362;13;25.9;89
FI362;16;25.7;90
FI362;14;23.0;81
FI362;6;29.6;44
FI362;10;20.2;84
CB318;5;22.3;73
CB318;18;14.9;74
CB318;23;33.9;94
CB318;6;16.4;34
CB318;20;24.0;60
CB318;13;30.1;94
CB318;4;14.3;54
CB318;9;17.8;93
QI170;7;34.8;36
QI170;0;18.9;74
QI170;5;14.2;47
QI170;21;25.8;90
QI170;15;14.4;65
QI170;6;23.4;44
QI170;5;18.5;63
QI170;23;23.3;65
